baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash
risk_parity_spy_cash,2020-05-13,9591.494341603053,-0.004222386352196628,0.0,0.3345560109567098,0.6654439890432902
risk_parity_spy_cash,2020-05-14,9627.922530964846,0.0037979680813433614,0.0,0.3370737835670079,0.6629262164329921
risk_parity_spy_cash,2020-05-15,9648.989424897813,0.0021881038059052837,0.0,0.33852116791701453,0.6614788320829854
risk_parity_spy_cash,2020-05-18,9709.849067864483,0.006307359277400781,0.0,0.3426672020385765,0.6573327979614235
risk_parity_spy_cash,2020-05-19,9701.510219234953,-0.0008588031153983211,0.0,0.3421021973560522,0.6578978026439478
risk_parity_spy_cash,2020-05-20,9767.783026180141,0.006831184573077076,0.0,0.3465659261210569,0.653434073878943
risk_parity_spy_cash,2020-05-21,9730.91596179745,-0.003774353329090041,0.0,0.3440902911277927,0.6559097088722072
risk_parity_spy_cash,2020-05-22,9742.473599301004,0.0011877234937520686,0.0,0.3448684063131138,0.6551315936868862
risk_parity_spy_cash,2020-05-26,9733.402994660028,-0.0009310371281505692,0.0,0.3442578860585424,0.6557421139414576
risk_parity_spy_cash,2020-05-27,9751.69019797233,0.0018788088115055945,0.0,0.34548758974217464,0.6545124102578254
risk_parity_spy_cash,2020-05-28,9747.301447763348,-0.00045005020872124213,0.0,0.34519289366729744,0.6548071063327026
risk_parity_spy_cash,2020-05-29,9796.603676458928,0.005058038777172813,0.0,0.34848826528526766,0.6515117347147323
risk_parity_spy_cash,2020-06-01,9806.844465667324,0.0010453407677402105,0.0,0.3491686058744723,0.6508313941255277
risk_parity_spy_cash,2020-06-02,9829.81330017916,0.00234212285024471,0.0,0.3506893711352432,0.6493106288647568
risk_parity_spy_cash,2020-06-03,9845.320812870797,0.0015775999215932313,0.0,0.351712110059583,0.648287889940417
risk_parity_spy_cash,2020-06-04,9820.064399758872,-0.002565321495558326,0.012310896587407527,0.36239517473005106,0.6376048252699489
risk_parity_spy_cash,2020-06-05,9890.624583328346,0.0071853076209160704,0.0,0.366943877710009,0.633056122289991
risk_parity_spy_cash,2020-06-08,9918.78807718413,0.00284749396951689,0.0,0.36874138281564706,0.6312586171843529
risk_parity_spy_cash,2020-06-09,9945.285979374765,0.002671485869487178,0.0,0.37042328810523223,0.6295767118947677
risk_parity_spy_cash,2020-06-10,9989.499594161938,0.004445685612144867,0.0,0.37320980027796974,0.6267901997220302
risk_parity_spy_cash,2020-06-11,9804.77140795589,-0.018492236219120217,0.0,0.3614006706298858,0.6385993293701142
risk_parity_spy_cash,2020-06-12,9832.934901811672,0.002872427380910647,0.0,0.36322974694012444,0.6367702530598756
risk_parity_spy_cash,2020-06-15,9876.391387470438,0.004419482696947252,0.0,0.36603155949335414,0.6339684405066459
risk_parity_spy_cash,2020-06-16,9938.472279305848,0.006285786923568848,0.0,0.3699916576931658,0.6300083423068342
risk_parity_spy_cash,2020-06-17,9950.1311899185,0.0011731089331434852,0.0,0.3707298601156246,0.6292701398843754
risk_parity_spy_cash,2020-06-18,9960.124739909377,0.0010043636410546064,0.0,0.37136124202748994,0.6286387579725101
risk_parity_spy_cash,2020-06-19,9959.519175232675,-6.079890488475126e-05,0.0,0.3713230191555283,0.6286769808444717
risk_parity_spy_cash,2020-06-22,9997.3733212193,0.00380080055277765,0.0,0.37370344743870587,0.6262965525612941
risk_parity_spy_cash,2020-06-23,10029.170665222042,0.003180569833803437,0.0,0.37568911181657694,0.6243108881834231
risk_parity_spy_cash,2020-06-24,9951.494114766983,-0.0077450621838968114,0.0,0.3708160429440684,0.6291839570559317
risk_parity_spy_cash,2020-06-25,9986.622642100016,0.003529975190449619,0.0,0.3730292341925061,0.6269707658074939
risk_parity_spy_cash,2020-06-26,9898.649643794042,-0.008809084057618266,0.0,0.367457110710708,0.6325428892892919
risk_parity_spy_cash,2020-06-29,9938.320714854146,0.004007725547188645,0.0,0.3699820497451319,0.6300179502548682
risk_parity_spy_cash,2020-06-30,10010.395156680434,0.007252175080098011,0.0,0.37451815360461427,0.6254818463953857
risk_parity_spy_cash,2020-07-01,10054.154540199237,0.004371394219098379,0.0,0.3772404809660079,0.6227595190339921
risk_parity_spy_cash,2020-07-02,10079.895313261466,0.0025602125926462715,0.0,0.37883080615824544,0.6211691938417545
risk_parity_spy_cash,2020-07-06,10270.961668348767,0.018955192405215593,0.4091503097175358,0.7920103473521211,0.20798965264787894
risk_parity_spy_cash,2020-07-07,10214.922279844102,-0.0054560994689871745,0.0,0.7908693095027501,0.20913069049724986
risk_parity_spy_cash,2020-07-08,10321.332554724479,0.010417139941470088,0.0,0.7930253929487341,0.2069746070512659
risk_parity_spy_cash,2020-07-09,10390.278834347846,0.006679978506438866,0.0,0.794398804515469,0.20560119548453104
risk_parity_spy_cash,2020-07-10,10446.632392377283,0.005423681012596715,0.0,0.7955079044115384,0.2044920955884616
risk_parity_spy_cash,2020-07-13,10275.683818851103,-0.01636398861425603,0.0,0.7921059281874261,0.2078940718125739
risk_parity_spy_cash,2020-07-14,10333.295976505786,0.005606649510662365,0.0,0.7932650187687827,0.20673498123121725
risk_parity_spy_cash,2020-07-15,10349.981548789432,0.0016147386392089125,0.0,0.7935983035632175,0.20640169643678252
risk_parity_spy_cash,2020-07-16,10293.94312104784,-0.005414350496899867,0.0,0.7924746887913556,0.20752531120864437
risk_parity_spy_cash,2020-07-17,10303.38838281559,0.0009175552707725299,0.0,0.7926649301774873,0.2073350698225127
risk_parity_spy_cash,2020-07-20,10535.097534585702,0.022488636083695113,0.0,0.7972250619658315,0.20277493803416846
risk_parity_spy_cash,2020-07-21,10447.576822477755,-0.00830753695640929,0.0,0.7955263898932592,0.2044736101067408
risk_parity_spy_cash,2020-07-22,10476.85511635533,0.002802400439361419,0.0,0.7960978054927331,0.20390219450726688
risk_parity_spy_cash,2020-07-23,10258.99824656746,-0.020794109240641734,0.0,0.7917678024290234,0.20823219757097655
risk_parity_spy_cash,2020-07-24,10181.866265564655,-0.00751847101919656,0.0,0.7901903546912215,0.20980964530877855
risk_parity_spy_cash,2020-07-27,10325.425405414198,0.014099491793077679,0.0,0.7931074347174711,0.20689256528252886
risk_parity_spy_cash,2020-07-28,10221.219121022601,-0.010092202529200955,0.0,0.790998145674641,0.209001854325359
risk_parity_spy_cash,2020-07-29,10314.406413733357,0.009117042850504298,0.0,0.7928864091572762,0.20711359084272385
risk_parity_spy_cash,2020-07-30,10357.222820068402,0.004151126552278894,0.0,0.7937426096868089,0.20625739031319112
risk_parity_spy_cash,2020-07-31,10503.930380507194,0.014164758544590539,0.0,0.7966233902574298,0.2033766097425702
risk_parity_spy_cash,2020-08-03,10616.951666090845,0.010759904291958389,0.0,0.7987884077326591,0.20121159226734087
risk_parity_spy_cash,2020-08-04,10651.637038350334,0.003266980330170588,0.11137409135502108,0.9104650136968283,0.08953498630317169
risk_parity_spy_cash,2020-08-05,10675.667868529652,0.0022560691931949872,0.0,0.9106665561274712,0.08933344387252884
risk_parity_spy_cash,2020-08-06,10804.43432569621,0.012061676960384071,0.0,0.9117312255703308,0.08826877442966918
risk_parity_spy_cash,2020-08-07,10690.732836907075,-0.010523594790957103,0.0,0.910792441371029,0.089207558628971
risk_parity_spy_cash,2020-08-10,10649.126027854232,-0.003891857526287179,0.0,0.9104439017962097,0.08955609820379029
risk_parity_spy_cash,2020-08-11,10465.482935896298,-0.017244897982951035,0.0,0.9088724159050596,0.09112758409494037
