method,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward,drawdown,lambda_rrc,vix_zscore_t,nav_after_cost
ppo_hybrid_regime_aware_policy,2021-07-01,13472.21231279752,0.0018215860021846275,0.0585405519673971,0.4610134223033602,0.5389865776966398,-0.0008598819015159931,0.0212302294589622,0.010140224305425211,-1.5943910277829916,13446.928904587538
ppo_hybrid_regime_aware_policy,2021-07-02,13526.375077749137,0.004020331901997132,0.5389865776966398,1.0,0.0,0.003203792096349336,0.01729525012574571,0.008636282474900175,-1.654548701003993,13464.950971189042
ppo_hybrid_regime_aware_policy,2021-07-06,13443.959003377511,-0.006092990464769854,0.0,1.0,0.0,-0.0061527219300436305,0.023282860796413556,0.006863080296662139,-1.7254767881335145,13526.375077749137
ppo_hybrid_regime_aware_policy,2021-07-07,13456.35980397344,0.0009224069035627114,0.54,0.4607889719747278,0.5392110280252722,-0.002480018252260801,0.022381930164384146,0.014555396542187788,-1.4177841383124885,13436.699265515686
ppo_hybrid_regime_aware_policy,2021-07-08,13350.63506637494,-0.007856860186458592,0.5392110280252722,1.0,0.0,-0.008800887551163754,0.030062938654838098,0.013563722714995159,-1.4574510914001937,13449.103986370063
ppo_hybrid_regime_aware_policy,2021-07-09,13420.957031753349,0.005267312380931033,0.54,0.46311951721405864,0.5368804827859414,0.001851488612561575,0.024953977162890842,0.02878900711215131,-0.8484397155139476,13343.425723439097
ppo_hybrid_regime_aware_policy,2021-07-12,13463.755059524443,0.0031888953723520075,0.5368804827859414,1.0,0.0,0.0023785009048879796,0.02184465741283531,0.013911014052376686,-1.4435594379049326,13413.751581862693
ppo_hybrid_regime_aware_policy,2021-07-13,13424.13659446595,-0.002942601442415982,0.0,1.0,0.0,-0.002987747430172863,0.02472297873483925,0.01417771664280359,-1.4328913342878564,13463.755059524443
ppo_hybrid_regime_aware_policy,2021-07-14,13439.907210982821,0.001174795593436695,0.0,1.0,0.0,0.001174106061080395,0.02357722758787686,0.019441052561506494,-1.2223578975397402,13424.13659446595
ppo_hybrid_regime_aware_policy,2021-07-15,13460.293388656693,0.0015168391681463778,0.0,1.0,0.0,0.0015156899296086051,0.022096151282012037,0.01544868589306101,-1.3820525642775596,13439.907210982821
ppo_hybrid_regime_aware_policy,2021-07-16,13337.206279856848,-0.00914445957794463,0.0,1.0,0.0,-0.009359720868735016,0.031038553497730104,0.019367734202478205,-1.2252906319008718,13460.293388656693
ppo_hybrid_regime_aware_policy,2021-07-19,13073.339860385759,-0.0197842347141024,0.0,1.0,0.0,-0.020506185690859144,0.050208714184247244,0.027314471037524924,-0.9074211584990032,13337.206279856848
ppo_hybrid_regime_aware_policy,2021-07-20,13273.354944878425,0.015299463383396272,0.0,1.0,0.0,0.015183606794806993,0.03567741718504029,0.049240950800894114,-0.0303619679642356,13073.339860385759
ppo_hybrid_regime_aware_policy,2021-07-21,13385.286998318405,0.008432838110998375,0.0,1.0,0.0,0.008397480370035605,0.027545440957381918,0.03438647808118413,-0.6245408767526351,13273.354944878425
ppo_hybrid_regime_aware_policy,2021-07-22,13395.673184767325,0.0007759405121627871,0.0,1.0,0.0,0.0007756396259600487,0.026790874068783367,0.02474806989878477,-1.0100772040486092,13385.286998318405
ppo_hybrid_regime_aware_policy,2021-07-23,13429.289864096296,0.002509517727500077,0.54,0.4616426173953767,0.5383573826046233,-0.0008956258539616829,0.02434858851469417,0.02375447765055766,-1.0498208939776936,13388.439521247552
ppo_hybrid_regime_aware_policy,2021-07-26,13444.069545929673,0.0011005557243120023,0.0016426173953766887,0.4605945327880588,0.5394054672119413,-0.0014945133692592304,0.023274829768850865,0.02135018880802197,-1.1459924476791212,13429.267804911158
ppo_hybrid_regime_aware_policy,2021-07-27,13406.610289274458,-0.0027863033977353346,0.5394054672119413,1.0,0.0,-0.0036635269240974815,0.025996282429319586,0.023600027142516872,-1.0559989142993251,13436.81774131502
ppo_hybrid_regime_aware_policy,2021-07-28,13358.431462842245,-0.003593662036313283,0.0,1.0,0.0,-0.003716598864818456,0.02949652261238138,0.033273177604473236,-0.6690728958210704,13406.610289274458
