date,asset,asset_label,method,method_label,portfolio_value,cumulative_return,daily_returns,turnover
2022-05-11,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12077.361895439692,0.2077361895439691,-0.0158861319403327,0.0
2022-05-12,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12064.753970281832,0.20647539702818318,-0.0010439303936583,0.0
2022-05-13,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12353.196270856542,0.23531962708565435,0.023907847709552,0.0
2022-05-16,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12303.07237814856,0.23030723781485585,-0.0040575646665822,0.0
2022-05-17,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12556.151489759835,0.2556151489759835,0.0205703993143022,0.0
2022-05-18,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12049.99326653728,0.204999326653728,-0.0403115734654327,0.0
2022-05-19,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11976.191624692116,0.19761916246921163,-0.0061246210029104,0.0
2022-05-20,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11981.4196671971,0.19814196671970996,0.0004365363104414,0.0
2022-05-23,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12205.59298716621,0.22055929871662094,0.0187100799567898,0.0
2022-05-24,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12112.418214918447,0.21124182149184478,-0.0076337767731344,0.0
2022-05-25,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12219.430267140357,0.22194302671403565,0.0088349040070385,0.0
2022-05-26,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12463.59139492021,0.24635913949202104,0.0199813839468796,0.0
2022-05-27,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12769.561855234298,0.27695618552342993,0.0245491408229889,0.0
2022-05-31,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12697.912053537031,0.26979120535370305,-0.0056109835646316,0.0
2022-06-01,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12595.2046200497,0.25952046200497003,-0.0080885292837353,0.0
2022-06-02,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12835.061129094973,0.28350611290949734,0.0190434785524211,0.0
2022-06-03,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12624.418219615332,0.2624418219615332,-0.0164115236663849,0.0
2022-06-06,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12662.856672497062,0.26628566724970626,0.0030447702391549,0.0
2022-06-07,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12784.321620540057,0.2784321620540058,0.0095922232387584,0.0
2022-06-08,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12645.328512757684,0.2645328512757683,-0.0108721535571395,0.0
2022-06-09,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12344.58609494858,0.23445860949485797,-0.0237828868981687,0.0
2022-06-10,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11986.646771263288,0.19866467712632874,-0.0289956520965706,0.0
2022-06-13,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11531.535864519114,0.15315358645191135,-0.0379681586876534,0.0
2022-06-14,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11496.787352963824,0.14967873529638243,-0.0030133463541666,0.0
2022-06-15,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11660.689441577248,0.16606894415772477,0.0142563381909617,0.0
2022-06-16,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11274.766811581398,0.12747668115813982,-0.0330960387830764,0.0
2022-06-17,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11250.473446597283,0.12504734465972844,-0.0021546667341412,0.0
2022-06-21,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11533.688643105805,0.1533688643105804,0.0251736247236937,0.0
2022-06-22,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11512.778349963452,0.15127783499634506,-0.0018129753446094,0.0
2022-06-23,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11625.633122098488,0.16256331220984888,0.0098025662185528,0.0
2022-06-24,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11995.25694717124,0.199525694717124,0.0317938662944865,0.0
2022-06-27,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11949.438611636631,0.19494386116366313,-0.0038197043828573,0.0
2022-06-28,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11705.277483856777,0.17052774838567775,-0.020432853434812,0.0
2022-06-29,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11695.744822617213,0.16957448226172134,-0.00081439002644,0.0
2022-06-30,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11600.725079706228,0.1600725079706229,-0.0081243002777586,0.0
2022-07-01,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11723.420321004298,0.17234203210042986,0.0105765148691185,0.0
2022-07-05,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11745.560907401725,0.17455609074017242,0.0018885773768393,0.0
2022-07-06,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11785.229653538532,0.17852296535385315,0.0033773394433473,0.0
2022-07-07,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11961.738728871029,0.19617387288710297,0.0149771434686889,0.0
2022-07-08,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11951.899198146784,0.19518991981467848,-0.0008225836516971,0.0
2022-07-11,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11815.365738435776,0.18153657384357746,-0.0114235785834087,0.0
2022-07-12,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11710.812395846437,0.17108123958464372,-0.0088489298515088,0.0
2022-07-13,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11649.310871235668,0.16493108712356674,-0.0052516872896521,0.0
2022-07-14,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11621.020695440437,0.1621020695440436,-0.0024284849213771,0.0
2022-07-15,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11843.041236822864,0.18430412368228644,0.0191050809736132,0.0
2022-07-18,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,11745.254037917051,0.17452540379170522,-0.0082569330757512,0.0
2022-07-19,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12062.601191695136,0.20626011916951348,0.027019181769385,0.0
2022-07-20,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12139.478097458596,0.21394780974585959,0.0063731615214459,0.0
2022-07-21,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12263.09676252707,0.22630967625270704,0.0101831943742582,0.0
